date,sales,price,cost
2025-01-01,197,104.97,60.29
2025-01-02,187,98.62,62.91
2025-01-03,159,106.48,57.89
2025-01-04,163,115.23,59.02
2025-01-05,202,97.66,58.82
2025-01-06,221,97.66,55.61
2025-01-07,162,115.79,60.89
2025-01-08,175,107.67,60.78
2025-01-09,197,95.31,60.02
2025-01-10,153,105.43,59.3
2025-01-11,204,95.37,55.75
2025-01-12,231,95.34,58.74
2025-01-13,197,102.42,58.97
2025-01-14,232,80.87,57.59
2025-01-15,255,82.75,59.52
2025-01-16,224,94.38,61.21
2025-01-17,212,89.87,65.66
2025-01-18,193,103.14,60.52
2025-01-19,228,90.92,60.77
2025-01-20,219,85.88,59.78
2025-01-21,163,114.66,54.24
2025-01-22,217,97.74,59.92
2025-01-23,219,100.68,60.18
2025-01-24,263,85.75,67.39
2025-01-25,188,94.56,59.42
2025-01-26,177,101.11,60.9
2025-01-27,244,88.49,59.9
2025-01-28,199,103.76,56.49
2025-01-29,228,93.99,63.43
2025-01-30,285,97.08,62.26
2025-01-31,229,93.98,62.37
2025-02-01,167,118.52,57.27
2025-02-02,219,99.87,64.21
2025-02-03,244,89.42,55.79
2025-02-04,169,108.23,61.76
2025-02-05,251,87.79,66.57
2025-02-06,178,102.09,57.03
2025-02-07,254,80.4,58.3
2025-02-08,230,86.72,60.3
2025-02-09,195,101.97,58.49
2025-02-10,224,107.38,55.35
2025-02-11,157,101.71,60.21
2025-02-12,217,98.84,56.81
2025-02-13,176,96.99,61.42
2025-02-14,234,85.21,57.24
2025-02-15,243,92.8,64.65
2025-02-16,215,95.39,57.65
2025-02-17,146,110.57,59.03
2025-02-18,175,103.44,62.44
2025-02-19,266,82.37,56.31
2025-02-20,175,103.24,60.68
2025-02-21,215,96.15,63.92
2025-02-22,221,93.23,55.18
2025-02-23,168,106.12,60.55
2025-02-24,211,110.31,60.78
2025-02-25,184,109.31,62.35
2025-02-26,184,91.61,56.29
2025-02-27,213,96.91,56.04
2025-02-28,176,103.31,61.57
2025-03-01,187,109.76,60.89
2025-03-02,198,95.21,60.75
2025-03-03,203,98.14,61.04
2025-03-04,243,88.94,57.96
2025-03-05,253,88.04,60.7
2025-03-06,151,108.13,60.88
2025-03-07,152,113.56,57.86
2025-03-08,192,99.28,65.6
2025-03-09,156,110.04,61.42
2025-03-10,224,103.62,56.43
2025-03-11,227,93.55,61.97
2025-03-12,163,103.61,57.08
2025-03-13,172,115.38,62.36
2025-03-14,243,99.64,63.48
2025-03-15,173,115.65,57.54
2025-03-16,248,73.8,62.89
2025-03-17,165,108.22,61.24
2025-03-18,222,100.87,62.47
2025-03-19,194,97.01,65.69
2025-03-20,206,100.92,59.26
2025-03-21,275,80.12,57.74
2025-03-22,188,97.8,57.33
2025-03-23,188,103.57,57.55
2025-03-24,90,114.78,59.77
2025-03-25,195,94.82,61.02
2025-03-26,219,91.92,60.83
2025-03-27,190,94.98,62.48
2025-03-28,205,109.15,60.04
2025-03-29,161,103.29,64.36
2025-03-30,207,94.7,59.21
2025-03-31,187,105.13,68.16
